"","ResponseId","Q49_1","Q2_1","Q3_1","Q3_2","Q3_3","Q3_4","Q3_5","Q3_6","Q3_7","Q3_8","Q3_9","Q3_10","Q5","Q8","Q9","Race","Best_Way_to_hear","Aquatic Interest","Art Interest","Game Night Interest","Fitness Class Interest","Intramural Sports Interst","Programs Interest","Q14","How Hear"
"1","Response ID","How many people live in your household? (select 10 if there are more than 10) - Number of people","How many children under 18 live with you? (select 10 if more than 10) - Number of children","What are their ages? - Child 1","What are their ages? - Child 2","What are their ages? - Child 3","What are their ages? - Child 4","What are their ages? - Child 5","What are their ages? - Child 6","What are their ages? - Child 7","What are their ages? - Child 8","What are their ages? - Child 9","What are their ages? - Child 10","Do you identify as as senior?(65 years or older)","What was your family's total income last year?","Are you Hispanic or Latino, Latina, Latinx?","Which of the following best describes your race? (check all that apply) - White_Which of the following best describes your race? (check all that apply) - Black or African American_Which of the following best describes your race? (check all that apply) - American Indian or Alaska Native_Which of the following best describes your race? (check all that apply) - Asian_Which of the following best describes your race? (check all that apply) - Native Hawaiian or Pacific Islander_Which of the following best describes your race? (check all that apply) - Other","What would be the best way to give you information about our recreation services? (check all that apply) - Selected Choice - Email ,What would be the best way to give you information about our recreation services? (check all that apply) - Selected Choice - Text ,What would be the best way to give you information about our recreation services? (check all that apply) - Selected Choice - Mail ,What would be the best way to give you information about our recreation services? (check all that apply) - Selected Choice - Brochure ,What would be the best way to give you information about our recreation services? (check all that apply) - Selected Choice - Calendar ,What would be the best way to give you information about our recreation services? (check all that apply) - Selected Choice - Other:","Would you be interested in any of the following aquatic programs? (check all that apply) - Selected Choice - Traditional Swim Lessons ,Would you be interested in any of the following aquatic programs? (check all that apply) - Selected Choice - Lifeguard Programs ,Would you be interested in any of the following aquatic programs? (check all that apply) - Selected Choice - Rec Lap Swim ,Would you be interested in any of the following aquatic programs? (check all that apply) - Selected Choice - Rec Open Swim ,Would you be interested in any of the following aquatic programs? (check all that apply) - Selected Choice - Water Fitness ,Would you be interested in any of the following aquatic programs? (check all that apply) - Selected Choice - Water Polo ,Would you be interested in any of the following aquatic programs? (check all that apply) - Selected Choice - Paddleboard Yoga ,Would you be interested in any of the following aquatic programs? (check all that apply) - Selected Choice - Other: ,Would you be interested in any of the following aquatic programs? (check all that apply) - Selected Choice - None of the above","Would you be interested in any of the following arts programs? (check all that apply) - Selected Choice - Painting ,Would you be interested in any of the following arts programs? (check all that apply) - Selected Choice - Drawing ,Would you be interested in any of the following arts programs? (check all that apply) - Selected Choice - Jewelry Making ,Would you be interested in any of the following arts programs? (check all that apply) - Selected Choice - Lettering ,Would you be interested in any of the following arts programs? (check all that apply) - Selected Choice - Other: ,Would you be interested in any of the following arts programs? (check all that apply) - Selected Choice - None of the above","Would you be interested in any of the following game nights? (check all that apply) - Selected Choice - Board Games ,Would you be interested in any of the following game nights? (check all that apply) - Selected Choice - E-Games ,Would you be interested in any of the following game nights? (check all that apply) - Selected Choice - Card Games ,Would you be interested in any of the following game nights? (check all that apply) - Selected Choice - Chess ,Would you be interested in any of the following game nights? (check all that apply) - Selected Choice - Other: ,Would you be interested in any of the following game nights? (check all that apply) - Selected Choice - None of the above","Would you be interested in any of the following fitness classes? (check all that apply) - Selected Choice - Circuit training ,Would you be interested in any of the following fitness classes? (check all that apply) - Selected Choice - Boot camp ,Would you be interested in any of the following fitness classes? (check all that apply) - Selected Choice - Yoga ,Would you be interested in any of the following fitness classes? (check all that apply) - Selected Choice - Pilates ,Would you be interested in any of the following fitness classes? (check all that apply) - Selected Choice - Adult Ballet (or other dance) ,Would you be interested in any of the following fitness classes? (check all that apply) - Selected Choice - Other ,Would you be interested in any of the following fitness classes? (check all that apply) - Selected Choice - None of the above","Would you be interested in any of the following sports intramurals/lessons? (check all that apply) - Selected Choice - Basketball ,Would you be interested in any of the following sports intramurals/lessons? (check all that apply) - Selected Choice - Volleyball ,Would you be interested in any of the following sports intramurals/lessons? (check all that apply) - Selected Choice - Badminton ,Would you be interested in any of the following sports intramurals/lessons? (check all that apply) - Selected Choice - Indoor soccer ,Would you be interested in any of the following sports intramurals/lessons? (check all that apply) - Selected Choice - Pickleball ,Would you be interested in any of the following sports intramurals/lessons? (check all that apply) - Selected Choice - Tennis ,Would you be interested in any of the following sports intramurals/lessons? (check all that apply) - Selected Choice - Other: ,Would you be interested in any of the following sports intramurals/lessons? (check all that apply) - Selected Choice - None of the above","Would you be interested in any of the following programs? (check all that apply) - Golf simulator ,Would you be interested in any of the following programs? (check all that apply) - Cooking classes ,Would you be interested in any of the following programs? (check all that apply) - Guided hikes ,Would you be interested in any of the following programs? (check all that apply) - Environmental habits (composting, home garden, bee-keeping) ,Would you be interested in any of the following programs? (check all that apply) - None of the above","How familiar are you with what services the recreation department provides?","How do you hear about recreation services? (check all that apply) - Selected Choice - Email,How do you hear about recreation services? (check all that apply) - Selected Choice - Text,How do you hear about recreation services? (check all that apply) - Selected Choice - Mail,How do you hear about recreation services? (check all that apply) - Selected Choice - Word of Mouth,How do you hear about recreation services? (check all that apply) - Selected Choice - Facebook,How do you hear about recreation services? (check all that apply) - Selected Choice - Through Community Involvement,How do you hear about recreation services? (check all that apply) - Selected Choice - I never hear about the programs,How do you hear about recreation services? (check all that apply) - Selected Choice - Other"
"2","{""ImportId"":""_recordId""}","{""ImportId"":""QID49_4""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID3_5""}","{""ImportId"":""QID3_6""}","{""ImportId"":""QID3_7""}","{""ImportId"":""QID3_8""}","{""ImportId"":""QID3_9""}","{""ImportId"":""QID3_10""}","{""ImportId"":""QID5""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10"",""choiceId"":""1""}_{""ImportId"":""QID10"",""choiceId"":""2""}_{""ImportId"":""QID10"",""choiceId"":""3""}_{""ImportId"":""QID10"",""choiceId"":""4""}_{""ImportId"":""QID10"",""choiceId"":""5""}_{""ImportId"":""QID10"",""choiceId"":""6""}","{""ImportId"":""QID16"",""choiceId"":""1""} ,{""ImportId"":""QID16"",""choiceId"":""2""} ,{""ImportId"":""QID16"",""choiceId"":""3""} ,{""ImportId"":""QID16"",""choiceId"":""4""} ,{""ImportId"":""QID16"",""choiceId"":""5""} ,{""ImportId"":""QID16"",""choiceId"":""6""}","{""ImportId"":""QID39"",""choiceId"":""1""} ,{""ImportId"":""QID39"",""choiceId"":""2""} ,{""ImportId"":""QID39"",""choiceId"":""3""} ,{""ImportId"":""QID39"",""choiceId"":""4""} ,{""ImportId"":""QID39"",""choiceId"":""5""} ,{""ImportId"":""QID39"",""choiceId"":""6""} ,{""ImportId"":""QID39"",""choiceId"":""7""} ,{""ImportId"":""QID39"",""choiceId"":""8""} ,{""ImportId"":""QID39"",""choiceId"":""9""}","{""ImportId"":""QID40"",""choiceId"":""1""} ,{""ImportId"":""QID40"",""choiceId"":""2""} ,{""ImportId"":""QID40"",""choiceId"":""3""} ,{""ImportId"":""QID40"",""choiceId"":""4""} ,{""ImportId"":""QID40"",""choiceId"":""5""} ,{""ImportId"":""QID40"",""choiceId"":""6""}","{""ImportId"":""QID41"",""choiceId"":""1""} ,{""ImportId"":""QID41"",""choiceId"":""2""} ,{""ImportId"":""QID41"",""choiceId"":""3""} ,{""ImportId"":""QID41"",""choiceId"":""4""} ,{""ImportId"":""QID41"",""choiceId"":""5""} ,{""ImportId"":""QID41"",""choiceId"":""6""}","{""ImportId"":""QID42"",""choiceId"":""1""} ,{""ImportId"":""QID42"",""choiceId"":""2""} ,{""ImportId"":""QID42"",""choiceId"":""3""} ,{""ImportId"":""QID42"",""choiceId"":""4""} ,{""ImportId"":""QID42"",""choiceId"":""5""} ,{""ImportId"":""QID42"",""choiceId"":""6""} ,{""ImportId"":""QID42"",""choiceId"":""7""}","{""ImportId"":""QID43"",""choiceId"":""1""} ,{""ImportId"":""QID43"",""choiceId"":""2""} ,{""ImportId"":""QID43"",""choiceId"":""3""} ,{""ImportId"":""QID43"",""choiceId"":""4""} ,{""ImportId"":""QID43"",""choiceId"":""5""} ,{""ImportId"":""QID43"",""choiceId"":""6""} ,{""ImportId"":""QID43"",""choiceId"":""7""} ,{""ImportId"":""QID43"",""choiceId"":""8""}","{""ImportId"":""QID44"",""choiceId"":""1""} ,{""ImportId"":""QID44"",""choiceId"":""2""} ,{""ImportId"":""QID44"",""choiceId"":""3""} ,{""ImportId"":""QID44"",""choiceId"":""4""} ,{""ImportId"":""QID44"",""choiceId"":""5""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15"",""choiceId"":""1""},{""ImportId"":""QID15"",""choiceId"":""2""},{""ImportId"":""QID15"",""choiceId"":""3""},{""ImportId"":""QID15"",""choiceId"":""4""},{""ImportId"":""QID15"",""choiceId"":""5""},{""ImportId"":""QID15"",""choiceId"":""6""},{""ImportId"":""QID15"",""choiceId"":""7""},{""ImportId"":""QID15"",""choiceId"":""8""}"
"3","R_3Hw5YoyhmYoHUk9","5","3","9","16","11",NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","","Email","Traditional Swim Lessons ,Rec Open Swim","Painting ,Jewelry Making","None of the above","Circuit training ,Boot camp ,Yoga ,Pilates","Volleyball ,Tennis","Environmental habits (composting, home garden, bee-keeping)","Extremely familiar","Email,Word of Mouth,Facebook,Through Community Involvement"
"4","R_XGvW7NOp27cv6Lf","4","2","7","16",NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Email ,Text ,Other:","Traditional Swim Lessons ,Water Fitness ,Paddleboard Yoga","Painting ,Drawing ,Jewelry Making ,Lettering ,Other:","None of the above","Yoga ,Adult Ballet (or other dance)","","Cooking classes ,Environmental habits (composting, home garden, bee-keeping)","Very familiar","Email,Facebook"
"5","R_2ciM8BJsIW8SLUx","2","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","35,000-44,999","No","White","Brochure","None of the above","Jewelry Making","Board Games","Circuit training","None of the above","Cooking classes ,Guided hikes","Slightly familiar","Facebook"
"6","R_3R9Eo8tXwzTBckh","6","4","5","9","9","11","4","4",NA,NA,NA,NA,"No","35,000-44,999","No","Other","Email","Traditional Swim Lessons","Painting","Board Games","Boot camp ,Yoga ,Pilates","Basketball ,Volleyball","Cooking classes","Extremely familiar","Facebook"
"7","R_2e25HLziSsb8itT","6","2","14","16",NA,NA,NA,NA,NA,NA,NA,NA,"No","Less than 26,000","No","White","Brochure","Rec Open Swim ,Paddleboard Yoga","","","Adult Ballet (or other dance)","","","Not familiar at all","I never hear about the programs"
"8","R_2ebeYSW7eS3b65I","4","2","9","5",NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Mail ,Brochure","Traditional Swim Lessons","Painting","None of the above","Yoga","None of the above","None of the above","Slightly familiar","Email,Facebook"
"9","R_2coxfxgC488trM7","3","1","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","45,000-64,999","No","White","Email","Traditional Swim Lessons ,Water Fitness","Painting ,Jewelry Making","Board Games ,Card Games","None of the above","Volleyball ,Badminton","Cooking classes","Moderately familiar","Facebook"
"10","R_3QEKrMYtWFRUvgo","4","2","9","5",NA,NA,NA,NA,NA,NA,NA,NA,"No","104,000-115,999","No","White","Email ,Brochure ,Calendar","Traditional Swim Lessons ,Rec Lap Swim ,Rec Open Swim","Painting ,Drawing","Board Games","Yoga","","Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Email,Facebook"
